,Field,Location
0,ABHD,Onshore
1,ABJF,Onshore
2,ABMK,Onshore
3,ABQQ,Onshore
4,ABSF,Offshore
5,ABTL,
6,ADHN,
7,AFLJ,
8,AMAR,
9,ANDR,Offshore
10,AWTD,
11,BRMH,
12,BRRI,Offshore
13,DHBN,
14,DILM,
15,DMMM,Onshore
16,DYBN,
17,FDHL,
18,FZRN,
19,GHZL,
20,HMUR,Offshore
21,HMYM,
22,HRDH,Onshore
23,HSBH,Offshore
24,HWTH,Onshore
25,HWYH,Onshore
26,HZEM,Onshore
27,IDNH,
28,JAHM,Onshore
29,Jana,Offshore
30,JFYN,
31,JLMD,Onshore
32,JLMN,
33,JLMS,
34,JNAB,
35,KARN,Offshore
36,KHRS,Onshore
37,KIDN,Onshore
38,KRSN,Onshore
39,LWHH,Offshore
40,MAQL,
41,MDRK,Onshore
42,MHKK,
43,MHRH,Offshore
44,MHWZ,Onshore
45,MNIF,Onshore
46,MNJR,
47,MRJN,Offshore
48,MZLJ,Onshore
49,NJYN,Onshore
50,QTIF,Onshore
51,RBGE,
52,RBGH,
53,RBYN,Offshore
54,RGHB,
55,RMLH,
56,RMTN,
57,RMYD,
58,SAHB,
59,SDGM,Onshore
60,SFNY,Offshore
61,SHDN,
62,SHRR,Onshore
63,SHYB,Onshore
64,SMNH,
65,SMTH,
66,THRY,
67,TINT,
68,TRYQ,
69,UBYL,
70,UMJF,
71,UMTW,
72,UMWL,
73,UTMN,Onshore
74,WAQR,
75,WDYH,
76,ZHRA,
77,ZMLH,
78,ZULF,Offshore
